"Textstelle","CTH","Fundort","Dat","RefNr","Toponyms"
"KUB 5.1 II 42",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho, Ḫuršama:cho"
"KUB 5.1 II 45",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Ḫakmiš:cho, Nerik:cho, Talmaliya:cho"
"KUB 5.1 II 46",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Iupapaina:oik"
"KUB 5.1 II 47",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 II 48",561,"Ḫattuša","sjh.","(Bo 2007)","Taptina:oik, Ununiya:oik"
"KUB 5.1 II 49",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫuršama:cho, Tanizila:oik"
"KUB 5.1 II 51",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 II 53",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Ḫanḫana:cho, Ḫurna:cho, Nerik:cho"
"KUB 5.1 II 54",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫuršama:cho, Tanizila:oik, Taptina:oik"
"KUB 5.1 II 55",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Talmaliya:cho"
"KUB 5.1 II 56",561,"Ḫattuša","sjh.","(Bo 2007)","Kammama:cho, Šakamaḫa:oik"
"KUB 5.1 II 58",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 II 6",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫuršama:cho, Taptina:oik"
"KUB 5.1 II 60",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Ḫuršama:cho, Nerik:cho, Taptina:oik"
"KUB 5.1 II 61",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Tanizila:oik"
"KUB 5.1 II 62",561,"Ḫattuša","sjh.","(Bo 2007)","Kammama:cho, Šakamaḫa:oik"
"KUB 5.1 II 63",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 II 64",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 II 66",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Nerik:hyd, Nerik:cho"
"KUB 5.1 II 67",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫurna:cho, Kammama:cho, Tašmaḫa:cho, Šakamaḫa:oik"
"KUB 5.1 II 68",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫuršama:cho, Tanizila:oik, Taptina:oik"
"KUB 5.1 II 69",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho, Ḫatti:cho"
"KUB 5.1 II 70",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 II 73",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 II 74",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Šakamaḫa:oik"
"KUB 5.1 II 75",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 II 76",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫurna:cho"
"KUB 5.1 II 97",561,"Ḫattuša","sjh.","(Bo 2007)","Ištaḫara:cho"
"KUB 5.1 II 99",561,"Ḫattuša","sjh.","(Bo 2007)","Šapinuwa:cho"
"KUB 5.1 III 19",561,"Ḫattuša","sjh.","(Bo 2007)","Šapinuwa:cho"
"KUB 5.1 III 23",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho, Piggainarešša:cho"
"KUB 5.1 III 24",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 III 26",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 III 28",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 29",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Tanizila:oik"
"KUB 5.1 III 33",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 III 40",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 46",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 III 49",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 III 51",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 III 53",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 57",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 III 58",561,"Ḫattuša","sjh.","(Bo 2007)","Talmaliya:cho"
"KUB 5.1 III 61",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Kaška:cho, Talmaliya:cho"
"KUB 5.1 III 63",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 III 65",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 III 71",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 III 72",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.1 III 75",561,"Ḫattuša","sjh.","(Bo 2007)","Talmaliya:cho"
"KUB 5.1 III 77",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫuršama:cho, Taptina:oik"
"KUB 5.1 III 79",561,"Ḫattuša","sjh.","(Bo 2007)","Aššur:cho"
"KUB 5.1 III 8",561,"Ḫattuša","sjh.","(Bo 2007)","Malimaliya:oro"
"KUB 5.1 III 80",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 84",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 85",561,"Ḫattuša","sjh.","(Bo 2007)","Aššur:cho"
"KUB 5.1 III 86",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 88",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 90",561,"Ḫattuša","sjh.","(Bo 2007)","Nerik:hyd, Nerik:cho"
"KUB 5.1 III 97",561,"Ḫattuša","sjh.","(Bo 2007)","Tiyašili:oik"
"KUB 5.1 III 98",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho, Ḫatti:cho"
"KUB 5.1 IV 1",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 15",561,"Ḫattuša","sjh.","(Bo 2007)","Ta[:oro, Ta[:oik"
"KUB 5.1 IV 3",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 40",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 47",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 5",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik"
"KUB 5.1 IV 52",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 57",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 60",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Talmaliya:cho"
"KUB 5.1 IV 65",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Aštigurka:oik"
"KUB 5.1 IV 66",561,"Ḫattuša","sjh.","(Bo 2007)","Talmaliya:cho"
"KUB 5.1 IV 70",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 77",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 8",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫur[:oik"
"KUB 5.1 IV 80",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 83",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro, Ḫatti:cho"
"KUB 5.1 IV 84",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫaḫarwa:oro"
"KUB 5.1 IV 86",561,"Ḫattuša","sjh.","(Bo 2007)","Tarḫuntašša:cho"
"KUB 5.1 V 1",561,"Ḫattuša","sjh.","(Bo 2007)","Tanizila:oik, Zikapalla:oik"
"KUB 5.1 VI 1",561,"Ḫattuša","sjh.","(Bo 2007)","Šarkatašina:oik"
"KUB 5.1 VI 2",561,"Ḫattuša","sjh.","(Bo 2007)","Ḫatti:cho"
"KUB 5.10 Vs. 1",567,"T.I","jh.","(652/u)","Niniwa:cho"
"KUB 5.10 Vs. 20",567,"T.I","jh.","(652/u)","Niniwa:cho"
"KUB 5.10 Vs. 4",567,"T.I","jh.","(652/u)","Ḫurri:cho"
"KUB 5.11 I 1",577,"Ḫattuša","jh.","(Bo 2036)","Tiliura:oik"
"KUB 5.11 I 3",577,"Ḫattuša","jh.","(Bo 2036)","Ḫatti:cho"
"KUB 5.11 I 35",577,"Ḫattuša","jh.","(Bo 2036)","Ḫattuša:cho"
"KUB 5.11 II 8",577,"Ḫattuša","jh.","(Bo 2036)","Ḫattuša:cho"
"KUB 5.13 I 1",577,"T.I","sjh.","(1943/u)","Šapinuwa:cho"
