"Textstelle","CTH","Fundort","Dat","RefNr","Toponyms"
"1087/z II 11",427,"T.I","jh.","(342/u)","Ḫatti:cho"
"1087/z II 12",427,"T.I","jh.","(342/u)","Ḫatti:cho"
"1198/u Rs. 14'",105,"T.I","sjh.","(1198/u)","Ḫattarina:oik"
"1198/u Rs. 15'",105,"T.I","sjh.","(1198/u)","Arziya:cho"
"1198/u Rs. 16'",105,"T.I","sjh.","(1198/u)","Ankuwa:cho"
"1198/u Rs. 17'",105,"T.I","sjh.","(1198/u)","Ḫupišna:cho"
"1198/u Rs. 18'",105,"T.I","sjh.","(1198/u)","Landa:oik"
"1198/u Rs. 19'",105,"T.I","sjh.","(1198/u)","Pišaiša:oro, Pišaiša:cho"
"1198/u Vs. 1",105,"T.I","sjh.","(1198/u)","Arinna:cho, Ḫatti:cho"
"1198/u Vs. 2",105,"T.I","sjh.","(1198/u)","Ḫatti:cho"
"1198/u Vs. 5",105,"T.I","sjh.","(1198/u)","Ḫatti:cho"
"1198/u Vs. 6",105,"T.I","sjh.","(1198/u)","Ḫatti:cho"
"1304/u II 71",81,"T.I","jh.","(1304/u)","Mizri:cho"
"1304/u II 79",81,"T.I","jh.","(1304/u)","Mizri:cho"
"1304/u II 80",81,"T.I","jh.","(1304/u)","Lawazantiya:oik"
"1312/u Rs. 2'",222,"T.I","mh.","(1312/u)","Waštišša:oik"
"1312/u Rs. 4'",222,"T.I","mh.","(1312/u)","Šarišša:oro, Ḫatti:cho, Šarišša:oik"
"1312/u Rs. 5'",222,"T.I","mh.","(1312/u)","Šarišša:oro, Ḫatti:cho, Šarišša:oik"
"1312/u Rs. 9'",222,"T.I","mh.","(1312/u)","Ḫatti:cho"
"1312/u Vs. 11'",222,"T.I","mh.","(1312/u)","Waštišša:oik"
"1312/u Vs. 15'",222,"T.I","mh.","(1312/u)","Wi[:oro, Wi[:oik"
"1325/z 2'",222,"T.I","mh.","(1325/z)","Paḫšuna:oik"
"1325/z 3'",222,"T.I","mh.","(1325/z)","Ka[:oro, Ka[:cho"
"1381/u 6'",585,"T.I","jh.","(1381/u)","Zikkištera:oik"
"1436/u 1' + 1198/u Vs. 5",105,"T.I","sjh.","(1198/u)","Amurru:cho"
"1513/u I 25",81,"T.I","sjh.","(1513/u)","Alašiya:cho"
"162/k Rs. 9’ + KBo 8.27 Rs. 9'",222,"Bk. D","mh.","(162/k)","Kammama:cho"
"1683/u IV 28",81,"T.I","jh.","(1304/u)","Ḫattuša:cho"
"1683/u IV 32",81,"T.I","jh.","(1304/u)","Nuḫašše:cho"
"194/rI V 17'",613,"Bk. K","jh.","(194/rA)","Karaḫna:cho"
"2064/g Rs. 10",222,"T.I","mh.","(2064/g)","Ḫurla:oro, Ḫurla:oik"
"2064/g Rs. 12'",222,"T.I","mh.","(2064/g)","Šarišša:oro, Šarišša:oik"
"2064/g Rs. 13’",222,"T.I","mh.","(2064/g)","Ḫatti:cho"
"2064/g Rs. 4'",222,"T.I","mh.","(2064/g)","Ḫiwaššalli:oik"
"2064/g Rs. 7’",222,"T.I","mh.","(2064/g)","]ziya:oik"
"2064/g Rs. 8’",222,"T.I","mh.","(2064/g)","Ḫa[:oro, Ḫa[:cho"
"2064/g Vs. 14",222,"T.I","mh.","(2064/g)","Zantananta:oik"
"2064/g Vs. 3",222,"T.I","mh.","(2064/g)","Ankuwa:cho"
"2064/g Vs. 5",222,"T.I","mh.","(2064/g)","Šitḫana:oro"
"2064/g Vs. 8",222,"T.I","mh.","(2064/g)","Niwanzuya:oik"
"2064/g Vs. 9",222,"T.I","mh.","(2064/g)","Alaliya:oik"
"2078/g Rs. 1’",222,"T.I","mh.","(2078/g)","Danku[:oro"
"2078/g Rs. 4’",222,"T.I","mh.","(2078/g)","Ankuwa:cho"
"2078/g Rs. 7’",222,"T.I","mh.","(2078/g)","Ḫatti:cho"
"2078/g Rs. 9’",222,"T.I","mh.","(2078/g)","Ḫatti:cho"
"248/w 10'",81,"T.I","jh.","(248/w)","Šamuḫa:cho"
"275/f Vs. 8",222,"Bk. C","mh.","(275/f)","Ḫilamma (?):oik"
"301/z 4'",222,"T.I","mh.","(301/z)","Ḫatti:cho"
"301/z Rs. 4’",222,"T.I","mh.","(301/z)","Ḫatti:cho"
"389/f Rs. 3",222,"Bk. C","mh.","(389/f)","Kammama:cho"
"518/z Rs. 7’",222,"T.I","mh.","(518/z)","Ḫatti:cho"
"544/f Vs. 10'",96,"Bk. C","jh.","(544/f)","Tarḫuntašša:cho"
"544/f Vs. 11'",96,"Bk. C","jh.","(544/f)","Tarḫuntašša:cho"
"605/f Vs. 3'",222,"Bk. C","mh.","(605/f)","Tuḫuppiya:cho"
"609/v Vs. 2'",222,"T.I","mh.","(609/v)","Ḫakmiš:cho"
"621/f Vs. 7'",222,"Bk. C","mh.","(621/f)","Išpi[:oik"
"680/f Rs. 8",222,"Bk. C","mh.","(680/f)","Ḫatti:cho"
"720/v IV 4’",105,"T.I","sjh.","(670/v)","Ḫatti:cho"
"806/b Rs. 12’",222,"Bk. A","mh.","(806/b)","Ḫatti:cho"
"922/v III 2'",81,"T.I","jh.","(922/v)","Durmitta:cho"
"922/v III 3'",81,"T.I","jh.","(922/v)","Ištaḫara:cho"
"ABoT 1.14 IV 11'",568,"Bk. A","jh.","(599/d)","Arinna:cho"
"ABoT 1.14 V 3'",568,"Bk. A","jh.","(599/d)","Arinna:cho"
"ABoT 1.16 2'",574,"Ḫattuša","jh.","(AnAr 6989)","Alše:cho, Išuwa:cho"
"ABoT 1.23 Rs.? 7",670,"Ḫattuša","jh.","(AnAr 6977)","Ma[:hyd, Ma[:cho"
"ABoT 1.24 9'",620,"Ḫattuša","jh.","(AnAr 9142)","Kizzuwatna:cho"
"ABoT 1.29 II 19 + ABoT 1.28 Vs. 2'",472,"Bk. A","jh.","(1991/c)","Kummanni:cho"
"ABoT 1.29 II 25 + ABoT 1.28 Vs. 8'",472,"Bk. A","jh.","(1991/c)","Kummanni:cho"
"ABoT 1.33 III 11",637,"Bk. A","jh.","(365/c)","Arinna:cho"
"ABoT 1.33 III 13",637,"Bk. A","jh.","(365/c)","Zippalanda:oik"
"ABoT 1.33 III 5",637,"Bk. A","jh.","(365/c)","Ḫiššašḫapa:cho"
"ABoT 1.41 13'",718,"Bk. A","jh.","(500/d)","Karduniaš:cho"
"ABoT 1.41 3'",718,"Bk. A","jh.","(500/d)","Karduniaš:cho"
"ABoT 1.45 1'",532,"Ḫattuša","jh.","(AnAr 6990)","Amurru:cho"
"ABoT 1.48 4'",360,"T.I","jh.","(203/v)","Sippar:hyd, Sippar:oik"
"ABoT 1.48 9'",360,"T.I","jh.","(203/v)","Niniwa:cho"
"ABoT 1.56 I 1",256,"Ḫattuša","sjh.","(AnAr 8361)","Zippalanda:oik"
"ABoT 1.56 I 2",256,"Ḫattuša","sjh.","(AnAr 8361)","Nerik:hyd, Nerik:cho"
"ABoT 1.56 I 5",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 I 6",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 II 10'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 II 11'",256,"Ḫattuša","sjh.","(AnAr 8361)","Karaḫna:cho"
"ABoT 1.56 II 13'",256,"Ḫattuša","sjh.","(AnAr 8361)","Tawiniya:cho, Durmitta:cho"
"ABoT 1.56 II 16'",256,"Ḫattuša","sjh.","(AnAr 8361)","Tišama:oik"
"ABoT 1.56 II 18'",256,"Ḫattuša","sjh.","(AnAr 8361)","Niniwa:cho"
"ABoT 1.56 II 21'",256,"Ḫattuša","sjh.","(AnAr 8361)","Arziya:cho"
"ABoT 1.56 II 22'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫurma:cho"
"ABoT 1.56 II 23'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ankuwa:cho"
"ABoT 1.56 II 24'",256,"Ḫattuša","sjh.","(AnAr 8361)","Dunna:cho"
"ABoT 1.56 II 26'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 II 33'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 II 6'",256,"Ḫattuša","sjh.","(AnAr 8361)","Pittiyarik:oik"
"ABoT 1.56 II 7'",256,"Ḫattuša","sjh.","(AnAr 8361)","Liḫzina:oro, Liḫzina:oik"
"ABoT 1.56 II 8'",256,"Ḫattuša","sjh.","(AnAr 8361)","Šarišša:oro, Šarišša:oik"
"ABoT 1.56 II 9'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫiššašḫapa:cho"
"ABoT 1.56 III 2'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 III 21'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 III 23'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 III 25'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.56 III 31'",256,"Ḫattuša","sjh.","(AnAr 8361)","Ḫatti:cho"
"ABoT 1.57 Rs. 32",106,"Ḫattuša","sjh.","(AnAr 9132)","Tarḫuntašša:cho"
"ABoT 1.57 Vs. 10",106,"Ḫattuša","sjh.","(AnAr 9132)","Tarḫuntašša:cho"
"ABoT 1.57 Vs. 14",106,"Ḫattuša","sjh.","(AnAr 9132)","Ḫulaya:hyd, Ḫulaya:cho"
"ABoT 1.57 Vs. 17",106,"Ḫattuša","sjh.","(AnAr 9132)","Ḫatti:cho"
"ABoT 1.57 Vs. 7",106,"Ḫattuša","sjh.","(AnAr 9132)","Tarḫuntašša:cho"
"ABoT 1.58 Rs. 11",133,"Ḫattuša","jh.","(Bo 484)","Išmirika:cho"
"ABoT 1.59 Vs. 1",163,"Bk. A","k.A.","(132/e)","Mizri:cho"
"ABoT 1.59 Vs. 2",163,"Bk. A","k.A.","(132/e)","Mizri:cho"
"ABoT 1.59 Vs. 3",163,"Bk. A","k.A.","(132/e)","Ḫatti:cho"
"ABoT 1.60 Rs. 2",200,"Ḫattuša","mh.","(AnAr 9133)","Šapinuwa:cho"
"ABoT 1.60 Rs. 5",200,"Ḫattuša","mh.","(AnAr 9133)","Kaška:cho"
"ABoT 1.60 Vs. 10'",200,"Ḫattuša","mh.","(AnAr 9133)","Taritara:cho"
"ABoT 1.60 Vs. 8",200,"Ḫattuša","mh.","(AnAr 9133)","Tapḫalu:oik"
"ABoT 1.64 6'",209,"Alaca","mh.?","(Al/D 164)","Ḫakmiš:cho"
"ABoT 1.65 Vs. 12",199,"Masat","mh.","(AnAr 9751)","Maraššantiya:oik"
"ABoT 1.65 Vs. 15",199,"Masat","mh.","(AnAr 9751)","Ḫattuša:cho"
"ABoT 1.65 Vs. 9",199,"Masat","mh.","(AnAr 9751)","Ḫattuša:cho"
"ABoT 2.1 Vs. 49",51,"T.I","k.A.","(535/u)","Ḫatti:cho"
"ABoT 2.103 Vs. 2'",500,"Ḫattuša","jh.","(AnAr 10313)","A[:oro, A[:cho"
"ABoT 2.104 IV 23",628,"Bk. A","jh.","(313/b)","Manuziya:oro, Manuziya:oik"
"ABoT 2.105 5'",720,"Ḫattuša","sjh.","(AnAr 10865)","Ammana:oro"
"ABoT 2.110 Vs. 2'",500,"Ḫattuša","jh.","(AnAr 14919)","Kizzuwatna:cho"
"ABoT 2.110 Vs. 3'",500,"Ḫattuša","jh.","(AnAr 14919)","Ura:cho"
"ABoT 2.118 lk. Rd. 2",526,NA,"jh.","(AnAr 10871)","Arinna:cho"
"ABoT 2.119 1'",528,"Ḫattuša","sjh.","(AnAr 11499)","Arinna:cho"
"ABoT 2.119 10'",528,"Ḫattuša","sjh.","(AnAr 11499)","Arinna:cho"
"ABoT 2.120 Rs. 3'",528,"Ḫattuša","sjh.","(AnAr 14913)","Kuwannaniya:hyd"
"ABoT 2.122 Vs. 2'",670,"Ḫattuša","sjh.","(AnAr 10315)","Timalata:oik"
"ABoT 2.122 Vs. 5'",670,"Ḫattuša","sjh.","(AnAr 10315)","Šapparta (?):oik"
"ABoT 2.123 Vs. 4'",530,"Ḫattuša","sjh.","(AnAr 11613c)","Kalapiya:oik"
"ABoT 2.127 3'",570,"T.I","jh.","(201/w)","Ḫattuša:cho"
"ABoT 2.140 II 3",628,"Ḫattuša","k.A.","(AnAr 10285)","Manuziya:oro, Manuziya:oik"
"ABoT 2.143 4'",635,"Kussaray","k.A.","(AnAr 96-2-76)","Daḫa:oro"
"ABoT 2.152 Vs. 4'",664,"Çorum","mh.","(AnAr 70-2-76)","Ḫatti:cho"
"ABoT 2.152 Vs. 5'",664,"Çorum","mh.","(AnAr 70-2-76)","Uda:cho"
"ABoT 2.152 Vs. 6'",664,"Çorum","mh.","(AnAr 70-2-76)","Šamuḫa:cho"
"ABoT 2.152 Vs. 7'",664,"Çorum","mh.","(AnAr 70-2-76)","Šanana[:oik"
"ABoT 2.152 Vs. 8'",664,"Çorum","mh.","(AnAr 70-2-76)","Ḫurma:cho"
"ABoT 2.152 Vs. 9'",664,"Çorum","mh.","(AnAr 70-2-76)","Kizzuwatna:cho"
"ABoT 2.167 Vs. 2'",670,"Ḫattuša","jh.","(AnAr 9720)","Arinna:cho"
"ABoT 2.174 III 2'",651,"Ḫattuša","jh.","(AnAr 10596)","Zippalanda:oik"
"ABoT 2.18 Rs. 6'",361,"Ḫattuša","jh.","(AnAr 12165)","Tita:oik"
"ABoT 2.19 III 5'",362,"T.I","jh.","(1622/u)","Aylanuwa:cho"
"ABoT 2.190 Vs. 4'",670,"Ḫattuša","jh.","(AnAr 12169)","Ḫimmuwa:cho"
"ABoT 2.190 Vs. 6'",670,"Ḫattuša","jh.","(AnAr 12169)","Ta[:oro, Ta[:oik"
"ABoT 2.192 lk. Rd. 2'",670,"Ḫattuša","mh.","(AnAr 12186)","Tawiniya:cho"
"ABoT 2.194 II 3'",670,"Ḫattuša","jh.","(AnAr 14839b)","Nerik:hyd, Nerik:cho"
"ABoT 2.199 Vs. 2'",670,"Ḫattuša","sjh.","(AnAr 14928)","Zippalanda:oik"
"ABoT 2.2 Vs. 3",53,"T.I","k.A.","(568/v)","Mizri:cho"
"ABoT 2.2 Vs. 4'",53,"T.I","k.A.","(568/v)","Alše:cho"
"ABoT 2.2 Vs. 6'",53,"T.I","k.A.","(568/v)","Ḫatti:cho"
"ABoT 2.200 2'",670,"Ḫattuša","jh.","(AnAr 14936)","Ḫurri:cho"
"ABoT 2.213 Rs. 10'",670,"Ḫattuša","jh.","(AnAr 151-1-67)","Kaneš:cho"
"ABoT 2.22 4'",378,"Ḫattuša","jh.","(Bo 2067)","Mala:hyd"
"ABoT 2.22 8'",378,"Ḫattuša","jh.","(Bo 2067)","Ḫatti:cho"
"ABoT 2.226 Rs. 11'",678,"Ḫattuša","jh.","(AnAr 11202)","Nerik:hyd, Nerik:cho"
"ABoT 2.226 Rs. 29''",678,"Ḫattuša","jh.","(AnAr 11202)","Zippalanda:oik"
"ABoT 2.232 2'",704,"Ḫattuša","sjh.","(AnAr 9150)","Tašimuwa:oik"
"ABoT 2.24 Vs. 11'",400,"Ḫattuša","jh.","(AnAr 10591)","Ḫatti:cho"
"ABoT 2.249 II 3'",776,"T.I","jh.","(1807/u)","Niniwa:cho"
"ABoT 2.249 II 5'",776,"T.I","jh.","(1807/u)","Niniwa:cho"
"ABoT 2.257 3'",831,"Ḫattuša","k.A.","(AnAr 8260d)","Ḫatti:cho"
"ABoT 2.275 Vs. 1'",832,"Ḫattuša","jh.","(AnAr 8360e)","Ḫatti:cho"
"ABoT 2.278 3'",832,"Ḫattuša","sjh.","(AnAr 8360k)","Kummanni:cho"
"ABoT 2.284 4'",832,"Ḫattuša","sjh.","(AnAr 8844a)","Kummanni:cho"
"ABoT 2.292 Vs. 4'",215,"Ḫattuša","jh.","(AnAr 8913)","Ḫattuša:cho"
"ABoT 2.314 Rs. 4'",832,"Ḫattuša","k.A.","(AnAr 10324)","Karduniaš:cho"
"ABoT 2.333 4'",470,"Ḫattuša","jh.","(AnAr 12163)","Apzi:oik"
"ABoT 2.333 5'",470,"Ḫattuša","jh.","(AnAr 12163)","Ḫatti:cho"
"ABoT 2.353 Vs. 3'",238,"Ḫattuša","jh.","(AnAr 14968)","Partanḫila:oik"
"ABoT 2.353 Vs. 4'",238,"Ḫattuša","jh.","(AnAr 14968)","Walku[:oik"
"ABoT 2.353 Vs. 5'",238,"Ḫattuša","jh.","(AnAr 14968)","Šanapra:oik"
"ABoT 2.378 2'",225,"Ḫattuša","k.A.","(AnAr 4220k)","Arinna:cho"
"ABoT 2.378 3'",225,"Ḫattuša","k.A.","(AnAr 4220k)","Kannuwara:oik"
"ABoT 2.4 3'",186,"Ḫattuša","sjh.","(AnAr 11386)","Kargamiš:cho"
"ABoT 2.7 Vs. 10'",225,"T.I","jh.","(536/u)","]a:oik, Arut[:oik"
"ABoT 2.7 Vs. 12'",225,"T.I","jh.","(536/u)","Daḫa[:cho"
"ABoT 2.7 Vs. 13'",225,"T.I","jh.","(536/u)","Arinna:cho"
"ABoT 2.7 Vs. 14'",225,"T.I","jh.","(536/u)","Tuššilašši:oik"
"ABoT 2.7 Vs. 15'",225,"T.I","jh.","(536/u)","Za[:oik"
"ABoT 2.7 Vs. 16'",225,"T.I","jh.","(536/u)","Tiu[:oik"
"ABoT 2.7 Vs. 20'",225,"T.I","jh.","(536/u)","Ḫurza:oro"
"ABoT 2.9 Vs. 8",289,"Ḫattuša","mh.","(AnAr 12928)","Naruwa:oik"
"AnAr 10590 Vs. 8'",188,"Ḫattuša","mh.","(AnAr 10590)","Waliyaša:oik"
"AnAr 10590 Vs. 9'",188,"Ḫattuša","mh.","(AnAr 10590)","Kuwanni:cho"
"BS 362 3'",678,"Ḫattuša","jh.","(BS 362)","Zippalanda:oik"
"BS 362 6'",678,"Ḫattuša","jh.","(BS 362)","Kaneš:cho"
"Bo 10078 Rs. 2",215,"Ḫattuša","jh.","(Bo 10078)","Kaška:cho"
"Bo 10285 o. Rd. 1",137,"Ḫattuša","mh.","(Bo 10285)","Šatupa:cho"
"Bo 10291 III 2'",670,"Ḫattuša","jh.","(Bo 10291)","Kartapaḫa:oik"
"Bo 10291 III 9'",670,"Ḫattuša","jh.","(Bo 10291)","Kartapaḫa:oik"
"Bo 10293 IV 5'",628,"Bk. A","jh.","(492/b)","Ḫattuša:cho"
"Bo 10293 IV 6'",628,"Bk. A","jh.","(492/b)","Kizzuwatna:cho"
"Bo 10306 Vs. 11'",240,"Ḫattuša","jh.","(Bo 2440)","Karkaziya:oik"
"Bo 10306 Vs. 14'",240,"Ḫattuša","jh.","(Bo 2440)","Maḫuduwa:oik"
"Bo 10317 Vs. 7'",386,"Ḫattuša","sjh.","(Bo 925)","Nerik:hyd, Nerik:cho"
"Bo 1638 r. Kol. 4",670,"Ḫattuša","jh.","(Bo 1638)","Tašpata (?):oik"
"Bo 2127 I 10'",0,NA,"k.A.","(Bo 2127)","Ḫatti:cho"
"Bo 2127 III 4'",0,NA,"k.A.","(Bo 2127)","Patta[:cho"
"Bo 2604a 9'",670,"Ḫattuša","sjh.","(Bo 2604a)","Ḫatti:cho"
"Bo 2609 9'",361,"Ḫattuša","k.A.","(Bo 2609)","Pirumna:oik"
"Bo 2670 lk. Kol. 7'",647,"Ḫattuša","jh.","(Bo 2670)","Ḫuršama:cho"
"Bo 2677 II? 11'",635,"Ḫattuša","sjh.","(Bo 2677)","Ḫaḫarwa:oro, Zippalanda:oik"
"Bo 2677 Vs. III? 4'",635,"Ḫattuša","sjh.","(Bo 2677)","Maraššanta:hyd"
"Bo 2686 26'",530,"Ḫattuša","sjh.","(Bo 2686)","Lawazantiya:oik"
"Bo 2689 V 18'",592,"Ḫattuša","sjh.","(Bo 2689)","Šanaḫuitta:cho"
"Bo 2689 V? 17'",592,"Ḫattuša","sjh.","(Bo 2689)","Ankuwa:cho"
"Bo 2810 II 14'",127,"Ḫattuša","jh.","(Bo 2810)","Ura:cho, Lašti[:oik"
"Bo 2896 II 10",370,"Ḫattuša","jh.","(Bo 2896)","Liḫzina:oro, Liḫzina:oik"
"Bo 2906 18'",212,"Ḫattuša","jh.","(Bo 2906)","Nerik:hyd, Nerik:cho"
"Bo 2983 III 15'",389,"Ḫattuša","jh.","(Bo 2983)","Arinna:cho"
"Bo 2983 III 7'",389,"Ḫattuša","jh.","(Bo 2983)","Takašta:cho"
"Bo 2983 III 8'",389,"Ḫattuša","jh.","(Bo 2983)","Ḫattuša:cho"
"Bo 2985 II 4",530,"Ḫattuša","sjh.","(Bo 2985)","Ḫak[:oik"
"Bo 3058 7'",215,"Ḫattuša","jh.","(Bo 3058)","Šatupa:cho"
"Bo 3058 9'",215,"Ḫattuša","jh.","(Bo 3058)","Šatupa:cho"
"Bo 3123 I 1'",677,"Ḫattuša","ah.","(Bo 3123)","Kaneš:cho"
"Bo 3123 I 12'",677,"Ḫattuša","ah.","(Bo 3123)","Arinna:cho"
"Bo 3203 Vs. 18",282,"Ḫattuša","jh.","(Bo 3203)","Niniwa:cho"
"Bo 3212 II 19'",670,"Ḫattuša","jh.","(Bo 3212)","Zippalanda:oik"
"Bo 3225 Rs.? 7'",670,"Ḫattuša","sjh.","(Bo 3225)","Zir[:oik"
"Bo 3234 Rs. 14",483,"Ḫattuša","mh.","(Bo 3720)","Ḫattuša:cho"
"Bo 3234 Rs. 16",483,"Ḫattuša","mh.","(Bo 3720)","Zippalanda:oik"
"Bo 3234 Rs. 2",483,"Ḫattuša","mh.","(Bo 3720)","Ḫatti:cho"
"Bo 3238 15'",670,"Ḫattuša","jh.","(Bo 3238)","Zippalanda:oik"
"Bo 3245 Rs. 10'",528,"Ḫattuša","jh.","(Bo 3245)","Gapiliwanta:oik"
"Bo 3245 Rs. 3'",528,"Ḫattuša","jh.","(Bo 3245)","Pulantariša:oik"
"Bo 3245 Rs. 5'",528,"Ḫattuša","jh.","(Bo 3245)","Ḫimmuwa:cho"
"Bo 3249",647,"Ḫattuša","mh.","(Bo 3249)","Nerik:hyd, Nerik:cho"
"Bo 3251 III 2'",674,"Ḫattuša","jh.","(Bo 3251)","Nerik:hyd, Nerik:cho"
"Bo 3268 Rs. 4'",209,"Ḫattuša","jh.","(Bo 3268)","Arinna:cho"
"Bo 3270 V? 4",626,"Ḫattuša","jh.","(Bo 3270)","Nerik:hyd, Nerik:cho"
"Bo 3275 13'",635,"Ḫattuša","sjh.","(Bo 3275)","Zippalanda:oik"
"Bo 3275 19'",635,"Ḫattuša","sjh.","(Bo 3275)","Daḫa:oro"
"Bo 3275 7'",635,"Ḫattuša","sjh.","(Bo 3275)","Irḫanta:oik"
"Bo 3303 13'",530,"Ḫattuša","jh.","(Bo 3303)","Arinna:cho"
"Bo 3303 6'",530,"Ḫattuša","jh.","(Bo 3303)","Ḫulla:oro"
"Bo 3303 9'",530,"Ḫattuša","jh.","(Bo 3303)","Nerik:hyd, Nerik:cho"
"Bo 3306 10'",682,"Ḫattuša","sjh.","(Bo 3306)","Liḫzina:oro, Liḫzina:oik"
"Bo 3306 4'",682,"Ḫattuša","sjh.","(Bo 3306)","Liḫzina:oro, Liḫzina:oik"
"Bo 3306 8'",682,"Ḫattuša","sjh.","(Bo 3306)","Liḫzina:oro, Liḫzina:oik"
"Bo 3312 Vs. 4'",647,"Ḫattuša","jh.","(Bo 149)","Durmitta:cho"
"Bo 3315 II 5'",678,"Ḫattuša","sjh.","(Bo 2918)","Nerik:hyd, Nerik:cho"
"Bo 3319 I 1",530,"Ḫattuša","sjh.","(Bo 3319)","Lak[:oik"
"Bo 3319 IV 4'",530,"Ḫattuša","sjh.","(Bo 3319)","Karuš[:oik"
"Bo 3322 lk. Kol. 11'",375,"T.I","jh.","(Bo 69/856)","Ḫatti:cho"
"Bo 3322 lk. Kol. 5'",375,"T.I","jh.","(Bo 69/856)","Ḫatti:cho"
"Bo 3323 I 1",638,"Ḫattuša","jh.","(Bo 3323)","Atalḫazi:oik"
"Bo 3323 I 3",638,"Ḫattuša","jh.","(Bo 3323)","Atalḫazi:oik"
"Bo 3323 I 8",638,"Ḫattuša","jh.","(Bo 3323)","Wattarwa:oik"
"Bo 3330 I 1'",470,"Ḫattuša","jh.","(Bo 3330)","Šari[:oik"
"Bo 3332 II 11'",678,"Ḫattuša","sjh.","(Bo 2918)","Maraššanta:hyd"
"Bo 3332 II 23'",678,"Ḫattuša","sjh.","(Bo 2918)","Nerik:hyd, Nerik:cho"
"Bo 3332 III 5'",678,"Ḫattuša","sjh.","(Bo 2918)","Ḫakmiš:cho"
"Bo 3332 III 6'",678,"Ḫattuša","sjh.","(Bo 2918)","Ḫakmiš:cho"
"Bo 3346 1'",530,"Ḫattuša","jh.","(Bo 3346)","Kilimuna:oik"
"Bo 3346 2'",530,"Ḫattuša","jh.","(Bo 3346)","Kilimuna:oik"
"Bo 3346 3'",530,"Ḫattuša","jh.","(Bo 3346)","Šaliduwanta:oro"
"Bo 3366 II 4'",678,"Ḫattuša","sjh.","(Bo 3366)","Nerik:hyd, Nerik:cho"
"Bo 3366 II 5'",678,"Ḫattuša","sjh.","(Bo 3366)","Kaštama:cho"
"Bo 3366 II 7'",678,"Ḫattuša","sjh.","(Bo 3366)","Nerik:hyd, Nerik:cho"
"Bo 3385 I 10'",448,"Ḫattuša","jh.","(Bo 3385)","Tapzupara:oik"
"Bo 3385 I 7'",448,"Ḫattuša","jh.","(Bo 3385)","Ḫattuša:cho"
"Bo 3392 Rs. 1'",615,"Ḫattuša","k.A.","(Bo 3392)","Ḫattarina:oik"
"Bo 3394 I 3'",676,"Ḫattuša","jh.","(Bo 2714)","Taštarešša:cho"
"Bo 3394 I 5'",676,"Ḫattuša","jh.","(Bo 2714)","Pi[:oro, Pi[:oik"
"Bo 3394 I 6",676,"Ḫattuša","jh.","(Bo 2714)","Zikkištera:oik"
"Bo 3400 I 5'",670,"Ḫattuša","jh.","(Bo 3400)","Ti[:oro, Ti[:cho"
"Bo 3410 II 20'",370,"Ḫattuša","jh.","(Bo 3410)","Uda:cho"
"Bo 3419 I 3'",530,"Ḫattuša","jh.","(Bo 3419)","Ḫazu[:oik"
"Bo 3419 IV 5'",530,"Ḫattuša","jh.","(Bo 3419)","Ni[:cho"
"Bo 3421 I 9'",389,"Ḫattuša","jh.","(Bo 3421)","Ḫatti:cho"
"Bo 3432 II? 12'",530,"Ḫattuša","jh.","(Bo 3432)","Taršiyaḫila:oik"
"Bo 3432 II? 4'",530,"Ḫattuša","jh.","(Bo 3432)","Taršiyaḫila:oik"
"Bo 3435 III? 11'",655,"Ḫattuša","jh.","(Bo 3243)","Šammaḫa:oro, Šammaḫa:oik"
"Bo 3438 4'",209,"Ḫattuša","jh.","(Bo 3438)","Amurru:cho"
"Bo 3438 8'",209,"Ḫattuša","jh.","(Bo 3438)","Amurru:cho"
"Bo 3438 Rs.? 7'",209,"Ḫattuša","jh.","(Bo 3438)","Ala:oik"
"Bo 3442 5'",211,"Ḫattuša","jh.","(Bo 3442)","Ḫiwaššuwanta:oik"
"Bo 3442 8'",211,"Ḫattuša","jh.","(Bo 3442)","Arinna:cho"
"Bo 3442 9'",211,"Ḫattuša","jh.","(Bo 3442)","Ḫatti:cho"
"Bo 3446 6'",638,"Ḫattuša","jh.","(Bo 3446)","Kašḫa:oik"
"Bo 3456 12'",635,"Ḫattuša","jh.","(Bo 3456)","Zippalanda:oik"
"Bo 3456 7'",635,"Ḫattuša","jh.","(Bo 3456)","Zippalanda:oik"
"Bo 3462 8'",670,"Ḫattuša","jh.","(Bo 2781)","Arinna:cho"
