"To","From","total_count"
727,1208,2
745,559,1
737,327,1
737,975,1
737,1023,1
737,1916,1
737,1945,1
743,1944,1
758,757,1
777,1494,1
772,2042,1
776,1208,2
778,2139,1
782,1599,1
786,1753,1
786,1798,1
781,1523,1
794,131,5
794,1547,1
796,344,1
796,797,5
799,1970,2
800,1380,1
803,2132,1
804,2457,1
811,1140,1
811,1764,1
807,1920,1
815,2130,2
815,2555,2
819,1662,1
822,1801,1
825,826,2
830,829,2
832,748,1
835,2408,1
835,2463,1
841,2278,1
847,1109,2
847,2469,1
849,2598,1
852,965,1
852,1024,1
852,1140,1
852,1673,2
852,2002,1
852,2374,1
852,2454,1
852,1949,2
853,1217,1
853,1735,2
904,2439,1
908,1241,1
908,1209,1
918,1179,1
918,2416,2
918,2660,1
918,2662,1
920,2462,1
927,926,3
862,1057,2
862,1140,1
862,1277,1
862,1386,2
862,1505,1
862,1530,1
862,1631,1
854,982,1
855,854,9
855,883,1
855,982,1
867,2574,1
873,2521,1
879,111,1
879,1271,1
879,2372,1
880,398,1
880,536,1
880,1140,6
880,2454,3
880,2640,3
883,854,1
886,1360,1
886,1609,1
886,2082,1
887,1009,1
890,2160,1
894,1975,1
895,2139,1
900,791,2
900,1024,2
900,1081,1
900,1140,1
900,1233,1
900,1254,1
900,1512,3
900,1673,1
900,2176,2
900,2239,1
900,2551,2
900,2654,1
900,1758,1
884,1741,1
1188,256,1
1188,668,1
1188,862,1
1188,1075,1
1188,1057,1
1188,1392,1
1188,2551,1
1187,247,1
1187,308,1
1187,591,3
1187,1392,1
936,790,1
932,2377,1
933,1000,1
933,1591,1
934,53,1
934,933,34
934,1000,1
934,1591,1
943,1663,1
950,727,1
950,1267,1
950,1321,1
950,1645,1
950,2211,1
951,2308,2
958,1398,1
965,2454,1
967,1392,1
968,2063,1
969,1000,1
969,2018,1
969,2141,1
969,2148,1
969,2464,1
969,2511,1
969,1694,1
969,1708,3
969,1873,1
974,2385,1
989,2457,1
989,2666,1
989,1865,1
994,2511,2
1000,290,1
1000,2511,1
1008,1022,1
1010,2093,1
1016,1138,1
1016,2659,1
1012,701,1
1013,701,1
1013,1012,2
1019,1018,5
1020,156,1
1020,710,2
1020,681,1
1020,1081,1
1020,1140,1
1020,1200,1
1020,1361,1
1020,1386,1
1020,1650,2
1020,1631,1
1020,2312,1
1020,1696,1
1020,1758,1
1020,1918,1
1023,1428,6
1023,1494,1
1023,2656,1
1023,1760,1
1024,337,1
1024,640,1
1024,1254,1
1024,1502,1
1024,1505,1
1024,2103,3
1031,1392,2
1030,724,1
1030,1321,1
1033,334,2
1033,409,2
1033,727,2
1033,950,1
1033,2211,2
1076,1101,3
1081,722,3
1081,1047,1
1081,1166,1
1081,1997,5
1081,2091,1
1081,2105,2
1081,1696,1
1081,1724,2
1088,922,1
1091,1565,1
1047,1696,1
1048,2012,1
1054,1216,1
1054,2551,1
1057,56,2
1057,140,1
1057,714,1
1057,727,3
1057,1479,1
1057,1531,2
1057,1606,1
1057,2032,1
1057,2057,1
1057,2090,1
1057,2190,1
1057,2210,1
1057,2217,1
1057,2273,1
1057,2448,1
1065,1482,10
1065,1494,3
1065,2617,1
1065,1857,1
1067,1547,1
1070,1579,2
1072,1358,1
1072,1844,1
1061,631,1
1061,2176,1
1061,1793,2
1062,441,1
1063,2273,1
1064,1063,12
1064,2273,1
1105,1167,1
1109,2469,1
1111,1564,2
1117,2631,1
1117,2670,1
1118,1542,1
1119,275,1
1121,1277,1
1121,1423,1
1121,1432,1
1121,1502,1
1121,1505,2
1121,2350,2
1140,536,1
1140,681,1
1140,820,1
1140,1166,1
1140,1423,1
1140,1482,1
1140,2224,1
1140,2312,5
1140,2366,1
1140,2374,2
1140,2454,3
1140,2550,1
1140,2640,3
1140,1696,1
1140,1758,3
1140,1805,1
1129,2340,2
1141,534,1
1141,1386,1
1141,0,1
1141,1758,1
1142,534,1
1142,1141,8
1142,1386,1
1142,0,1
1142,1758,1
1144,1571,1
1147,1169,1
1147,1170,1
1164,1545,1
1166,587,1
1166,1225,1
1166,1482,1
1166,1494,1
1166,2312,2
1166,1758,1
1166,1791,1
1170,613,1
1170,1169,9
1172,713,1
1181,2433,1
1181,1777,1
1198,2222,1
1207,1330,1
1207,2443,1
1208,2004,1
1201,1363,1
1201,2216,2
1202,2048,1
1203,2286,1
1217,1735,1
1223,1222,4
1224,692,1
1225,1417,7
1226,144,1
1226,2381,1
1226,2433,1
1228,1367,1
1228,2163,1
1228,2530,1
1228,2657,3
1235,2481,1
1209,1241,1
1212,1484,1
1257,246,1
1257,1121,3
1257,1672,1
1257,1673,1
1257,1810,3
1262,1329,1
1267,1690,2
1268,1697,1
1271,2372,1
1272,1481,2
1274,1653,1
1277,1479,3
1280,720,1
1283,1490,1
1289,2376,1
1291,1603,1
1292,171,1
1292,1291,9
1292,1603,1
1292,1604,1
1296,1441,1
1296,1739,1
1302,1650,2
1302,2206,1
1302,1696,1
1302,1805,2
1303,53,3
1303,246,1
1303,280,1
1303,307,1
1303,334,2
1303,1302,72
1303,1482,3
1303,1483,3
1303,1650,2
1303,2206,1
1303,2312,1
1303,10,1
1303,1696,1
1303,1758,2
1303,1791,1
1303,1805,2
1303,1806,2
1301,1300,4
1306,2519,1
1306,1920,1
1308,1735,1
1318,2360,1
1318,1796,1
1321,1392,1
1321,2444,1
1323,2237,1
1323,2239,1
1325,308,1
1325,309,1
1325,694,1
1325,1493,1
1325,1885,2
1328,1917,1
1334,2288,1
1334,1856,1
1335,1531,2
1332,2445,2
1340,2363,1
1340,2364,1
1347,1544,1
1338,116,1
1339,116,1
1339,1338,10
1358,1844,1
1359,852,1
1359,1949,1
1360,2009,1
1362,335,1
1362,2141,1
1363,2216,1
1369,1650,1
1375,490,1
1375,1374,170
1375,1464,1
1378,1991,1
1380,246,1
1380,1381,1
1380,1482,1
1380,1483,1
1380,1703,1
1381,2424,1
1384,2349,1
1386,1758,1
1390,1389,3
1395,2156,1
1395,1800,2
1399,1549,1
1403,1402,2
1405,1893,1
1405,1942,1
1392,692,1
1392,1179,1
1392,2444,1
1393,1556,1
1409,421,1
1409,2324,1
1410,1537,1
1410,1874,1
1410,1935,1
1411,2239,1
1417,822,1
1422,1575,1
1422,1742,1
1423,805,1
1423,936,1
1423,1505,1
1423,2217,1
1428,545,1
1428,1760,4
1432,48,1
1432,1502,3
1432,1673,2
1432,2653,1
1434,686,1
1440,246,1
1441,1739,2
1443,1405,1
1443,1893,1
1443,1942,1
1449,2360,1
1449,1943,1
1450,1747,1
1450,1828,1
1453,1999,1
1445,2053,1
1458,270,1
1458,1748,1
1455,2188,1
1455,2431,1
1462,1482,2
1462,1483,2
1464,1374,1
1464,1650,1
1479,1727,1
1479,1918,1
1480,728,2
1482,620,1
1482,999,1
1482,1272,1
1482,1293,1
1482,1299,1
1482,1302,3
1482,1481,1
1482,1606,3
1482,1650,1
1482,1997,1
1482,2018,1
1482,2032,1
1482,2057,4
1482,2095,2
1482,2247,1
1482,2273,1
1482,2312,2
1482,2363,1
1482,2392,2
1482,2511,1
1482,2606,5
1482,1696,1
1482,1758,5
1482,1791,2
1482,1805,1
1483,44,9
1483,53,4
1483,86,2
1483,246,3
1483,247,1
1483,254,1
1483,280,2
1483,334,1
1483,335,2
1483,344,2
1483,541,1
1483,547,4
1483,620,1
1483,613,1
1483,999,1
1483,1065,10
1483,1140,1
1483,1166,1
1483,1272,1
1483,1293,1
1483,1299,1
1483,1302,3
1483,1481,1
1483,1482,664
1483,1494,1
1483,1606,3
1483,1650,1
1483,1997,1
1483,2018,1
1483,2032,1
1483,2057,4
1483,2095,2
1483,2247,1
1483,2273,1
1483,2312,2
1483,2363,1
1483,2392,2
1483,2511,1
1483,2606,5
1483,1696,1
1483,1758,5
1483,1791,2
1483,1805,1
1487,727,1
1487,1,1
1494,243,3
1494,848,1
1494,1293,1
1494,1476,1
1494,1482,1
1494,1684,2
1502,1673,1
