"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"[<U+1E2A>UR.SA]G","da-a-<U+1E2B>a",NA,"KBo 56.83 3'",635,"HaH","sjh.","(128/u)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>[a",NA,"KBo 56.86 r. Kol. 4",635,"HaH","jh.","(808/u)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a",NA,"KUB 6.45 I 57",381,"T.I","jh.","(844/v)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KBo 58.119 VI 9'",626,"T.I","sjh.","(678/z)","Da<U+1E2B>a"
"br.","]-a-<U+1E2B>a",NA,"KBo 58.119 I 14'",626,"T.I","sjh.","(678/z)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 1.15 III 5",613,"<U+1E2A>attuša","jh.","(Bo 430)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","ta-<U+1E2B>a",NA,"KUB 6.46 II 22",381,"<U+1E2A>attuša","jh.","(VAT 7512)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","ta-<U+1E2B>a-y[a",NA,"KUB 7.27 1'",635,"<U+1E2A>attuša","jh.","(VAT 8315)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","ta-<U+1E2B>a-an",NA,"KUB 9.17 25'",685,"<U+1E2A>attuša","jh.","(Bo 2395)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 11.30 III 25'",635,"<U+1E2A>attuša","sjh.","(Bo 139)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","d]a-<U+1E2B>a",NA,"KUB 11.30 IV 24' + KUB 44.14 IV 24'",635,"<U+1E2A>attuša","sjh.","(Bo 139)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a-ya",NA,"KUB 11.30 IV 8'",635,"<U+1E2A>attuša","sjh.","(Bo 139)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a",NA,"KUB 44.14 IV 19?",635,"<U+1E2A>attuša","sjh.","(Bo 139)","Da<U+1E2B>a"
"[<U+1E2A>U]R.SAG","da-a-<U+1E2B>a",NA,"KUB 51.87 Rs. lk. Kol. 12'",635,"<U+1E2A>attuša","sjh.","(Bo 299)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 20.66 III 13'",635,"<U+1E2A>attuša","sjh.","(Bo 247)","Da<U+1E2B>a"
"br.","]-a-<U+1E2B>a",NA,"KUB 20.66 IV 13'",635,"<U+1E2A>attuša","sjh.","(Bo 247)","Da<U+1E2B>a"
